Pos,act,x,y,v,a,Duration,Gradient,SOC,Power,Energy,F_load,F_traction,Wind,dt,Brake,Throttle,Power,Torque,dt_Energy_wh,Total_Reward,dt_Time_reward,dt_Energy_reward,dt_Position_reward
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8164965782060707,0.0,1.0,0.0,180.0,0.0,-0.6164965782060707,-0.8164965782060707,-0.0,0.2
1.0,0.0,0.0,0.0,2.4494897346182123,3.0,0.8164965782060707,0.0,0.5,0.0,0.0,0.0,6000.0,0.0,0.4110019450810959,0.0,0.0,0.0,0.0,0.0,-0.21100194508109588,-0.4110019450810959,-0.0,0.2
2.0,-1.0,1.0,0.0,2.416667889916459,-0.0798581249908125,1.2274985232871667,0.0,0.5,0.0,0.0,159.716249981625,0.0,0.0,0.0,-1.0,0.0,-14.500007339498755,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-0.2,2.0,0.0,0.0,-3.079821440160082,1.2274985232871667,0.0,0.5,-11.600005871599004,0.0,159.64288032016418,-6000.0,0.0,0.0,-0.2,0.0,-0.0,-36.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,-1.0,2.0,0.0,0.0,-0.6,1.2274985232871667,0.0,0.5,-0.0,0.0,0.0,-1200.0,0.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
2.0,1.0,2.0,0.0,0.0,-3.0,1.2274985232871667,0.0,0.5,-0.0,0.0,0.0,-6000.0,0.0,0.8164965782060707,0.0,1.0,0.0,180.0,0.0,-0.6164965782060707,-0.8164965782060707,-0.0,0.2
3.0,0.0,2.0,0.0,2.4494897346182123,3.0,2.0439951014932376,0.0,0.5,0.0,0.0,0.0,6000.0,0.0,0.4110019450810959,0.0,0.0,0.0,0.0,0.0,-0.21100194508109588,-0.4110019450810959,-0.0,0.2
4.0,-1.0,3.0,0.0,2.416667889916459,-0.0798581249908125,2.4549970465743334,0.0,0.5,0.0,0.0,159.716249981625,0.0,0.0,0.0,-1.0,0.0,-14.500007339498755,-180.0,-0.0,-2.0,0.0,0.0,-2.0
4.0,-0.2,4.0,0.0,0.0,-3.079821440160082,2.4549970465743334,0.0,0.5,-11.600005871599004,0.0,159.64288032016418,-6000.0,0.0,0.0,-0.2,0.0,-0.0,-36.0,-0.0,-2.0,0.0,0.0,-2.0
4.0,-1.0,4.0,0.0,0.0,-0.6,2.4549970465743334,0.0,0.5,-0.0,0.0,0.0,-1200.0,0.0,0.0,-1.0,0.0,-0.0,-180.0,-0.0,-2.0,0.0,0.0,-2.0
